Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Region,Continent,Origin,Associated Disaster,OFDA Response,Disaster Magnitude Value,Latitude,Longitude,Start Year,End Year,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",Country,Location
1999,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-6845,105555,1999,1999,5,220,14000,2700,16920,3900,6344,Indonesia, Pandelang District (Southwest Jakarta
1999,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-6845,105555,1999,1999,5,220,14000,2700,16920,3900,6344,Indonesia, Java Island)
1999,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,33,2,,,2,,,Indonesia,Bali Island
1999,Natural,Climatological,Wildfire,Forest fire,IDN,South-Eastern Asia,Asia,,,,56,,,1999,1999,,,,,,1800,2928,Indonesia,Sumatra
1999,Natural,Climatological,Wildfire,Forest fire,IDN,South-Eastern Asia,Asia,,,,56,,,1999,1999,,,,,,1800,2928,Indonesia, Kalimantan
1999,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,1,,267,,267,,,Indonesia,Flores Island
1999,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,1,,267,,267,,,Indonesia, Level 1 = Nusa Tenggara Timur
1999,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,45,,3751,,3751,,,Indonesia,Bali
1999,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,50,28,,,28,,,Indonesia,Cianjur (Java)
1999,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,361,,,,,,,Indonesia,Merauke (Irian Jaya Province)
1999,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,313,,,,,,,Indonesia,Tambelan (Born̩o)
1999,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,26,,,,,,,Indonesia,Sulawesi
1999,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,24,5,,,5,,,Indonesia,Pemalang (Java Province)
1999,Technological,Technological,Industrial accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,,,,,,3000,4880,Indonesia,Jakarta
1999,Technological,Technological,Industrial accident,Collapse,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,34,,,,,,,Indonesia,Sungai Babi (Kuwait district
1999,Technological,Technological,Industrial accident,Collapse,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,34,,,,,,,Indonesia, Borneo)
1999,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,75,,,,,,,Indonesia,Yogyakarta
1999,Natural,Hydrological,Landslide,Mudslide,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,56,,,,,,,Indonesia,Dberang Pallinggam (Sumatra)
1999,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,95,,,1999,1999,12,,16000,,16000,,,Indonesia,Sulawesi
1999,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,95,,,1999,1999,12,,16000,,16000,,,Indonesia, Java
1999,Natural,Biological,Epidemic,,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,10,,627,,627,,,Indonesia,South central Timor
1999,Natural,Biological,Epidemic,,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,10,,627,,627,,,Indonesia, Talahar Regency
1999,Natural,Biological,Epidemic,,IDN,South-Eastern Asia,Asia,,,,,,,1999,1999,10,,627,,627,,,Indonesia, Level 1 = Nusa Tenggara Timur
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",Yes,7,-4646,102102,2000,2000,103,2714,200000,2000,204714,41000,64517,Indonesia,Enggano island (Bengkulu Utara district
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",Yes,7,-4646,102102,2000,2000,103,2714,200000,2000,204714,41000,64517,Indonesia, Bengkulu province)
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,590,,,2000,2000,38,,39852,,39852,,,Indonesia,Taliwan area (Sumbawa Barat district
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,590,,,2000,2000,38,,39852,,39852,,,Indonesia, Nusatenggara Barat province)
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,590,,,2000,2000,38,,39852,,39852,,,Indonesia, Lunyuk area (Sumbawa district
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,590,,,2000,2000,38,,39852,,39852,,,Indonesia, Nusatenggara Barat province)
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,590,,,2000,2000,38,,39852,,39852,,,Indonesia, Kulonprogo district (Daerah Istimewa Yogyakarta province)
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,590,,,2000,2000,38,,39852,,39852,,,Indonesia, Bolaangmongondow
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,590,,,2000,2000,38,,39852,,39852,,,Indonesia, Minahasa
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,590,,,2000,2000,38,,39852,,39852,,,Indonesia, Kota Bitung
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,590,,,2000,2000,38,,39852,,39852,,,Indonesia, Kota Manado districts (Sulawesi Utara province)
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-1105,123573,2000,2000,45,270,,52500,52770,30000,47207,Indonesia,Totikum
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-1105,123573,2000,2000,45,270,,52500,52770,30000,47207,Indonesia, Tinangkung
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-1105,123573,2000,2000,45,270,,52500,52770,30000,47207,Indonesia, Liang villages (Banggai Kepulauan district
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-1105,123573,2000,2000,45,270,,52500,52770,30000,47207,Indonesia, Sulawesi Tengah province)
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,Tsunami/Tidal wave,,8,-1105,123573,2000,2000,45,270,,52500,52770,30000,47207,Indonesia, Banggai district (Sulawesi Tengah province)
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,5,-6675,106845,2000,2000,,124,,4000,4124,2000,3147,Indonesia,Ciranggon village (Karawang district
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,5,-6675,106845,2000,2000,,124,,4000,4124,2000,3147,Indonesia, Jawa Barat province)
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-6549,105.63,2000,2000,,,5500,,5500,,,Indonesia,Pandeglang
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-6549,105.63,2000,2000,,,5500,,5500,,,Indonesia, Lebak
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-6549,105.63,2000,2000,,,5500,,5500,,,Indonesia, Serang districts (Banten province)
2000,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-4612,101905,2000,2000,1,,3000,,3000,,,Indonesia,Lahat district (Sumatera Selatan province)
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rain,,Yes,11400,,,2000,2000,126,,50000,,50000,79000,124312,Indonesia,Malaka Tengah
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rain,,Yes,11400,,,2000,2000,126,,50000,,50000,79000,124312,Indonesia, Malaka Barat areas (Belu district
2000,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rain,,Yes,11400,,,2000,2000,126,,50000,,50000,79000,124312,Indonesia, Nusa Tenggara Timur)
2000,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,300,,,2000,2000,100,21,386000,,386021,34000,53502,Indonesia,Aceh Besar
2000,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,300,,,2000,2000,100,21,386000,,386021,34000,53502,Indonesia, Aceh Utara districts (Nangroe Aceh Darussalam province)
2000,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,300,,,2000,2000,100,21,386000,,386021,34000,53502,Indonesia, Pesisir Selatan
2000,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,300,,,2000,2000,100,21,386000,,386021,34000,53502,Indonesia, Tanahdatar
2000,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,300,,,2000,2000,100,21,386000,,386021,34000,53502,Indonesia, Solok districts (Sumatera Barat province) Dairi
2000,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,300,,,2000,2000,100,21,386000,,386021,34000,53502,Indonesia, Deli Serdang districts (Sumatera Utara province)
2000,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,300,,,2000,2000,100,21,386000,,386021,34000,53502,Indonesia, Riau
2000,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,Yes,300,,,2000,2000,100,21,386000,,386021,34000,53502,Indonesia, Jambi provinces
2000,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,,,,520,520,,,Indonesia,Banggai city (Banggai Kepulauan district
2000,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,,,,520,520,,,Indonesia, Sulawesi Tengah province)
2000,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2000,2000,52,19,,,19,,,Indonesia,Purworejo
2000,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2000,2000,52,19,,,19,,,Indonesia, Purbalingga
2000,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2000,2000,52,19,,,19,,,Indonesia, Kebumen districts (Jawa Tengah province)
2000,Natural,Climatological,Wildfire,Forest fire,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,,,,,,,,Indonesia,Riau province (Sumatra Island)
2000,Natural,Climatological,Wildfire,Forest fire,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,,,,,,,,Indonesia, Kalimatan Barat
2000,Natural,Climatological,Wildfire,Forest fire,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,,,,,,,,Indonesia, Kalimatan Tengah provinces (Borneo Island)
2000,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,10,,1516,,1516,,,Indonesia,Jakarta
2000,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,15,,203,,203,,,Indonesia,Ngada district (Flores Island)
2000,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,13,22,,,22,,,Indonesia,Woosobo (Java)
2000,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,13,,,,,,,Indonesia,Java
2000,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,26,31,,,31,,,Indonesia,Java Island
2000,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,10,3,,,3,,,Indonesia,Dukuh Karak (Cilacap district
2000,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,10,3,,,3,,,Indonesia, Java Island)
2000,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,31,5,,,5,,,Indonesia,Lahat
2000,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,41,,,,,,,Indonesia,Ambon Island
2000,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,481,11,,,11,,,Indonesia,Sangihe-Talaud Island
2000,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,481,11,,,11,,,Indonesia, off Sulawesi Island
2000,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,32,,,,,,,Indonesia,Padang Panjang
2000,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,16,66,,,66,,,Indonesia,Near Katanggan village (Java Island)
2000,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,11,12,,,12,,,Indonesia,Surabaya (East Java)
2000,Technological,Technological,Miscellaneous accident,Explosion,IDN,South-Eastern Asia,Asia,,,,,,,2000,2000,10,30,,,30,,,Indonesia,Jakarta
2000,Natural,Hydrological,Landslide,Mudslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2000,2000,34,,,,,11600,18253,Indonesia,Brebes district (Jawa Tengah province)
2000,Natural,Hydrological,Landslide,Mudslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2000,2000,40,,54085,2125,56210,43000,67664,Indonesia,Cilacap
2000,Natural,Hydrological,Landslide,Mudslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2000,2000,40,,54085,2125,56210,43000,67664,Indonesia, Banyumas districts (Jawa Tengah province)
2001,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,,,,2001,2001,130,,80000,,80000,10000,15303,Indonesia,Bogor district
2001,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",Yes,1270,,,2001,2001,257,4,,3690,3694,,,Indonesia,Nias
2001,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,9125,,,2001,2002,15,,,2000,2000,,,Indonesia,Kota Medan
2001,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,5,-6.99,108275,2001,2001,,12,12500,,12512,,,Indonesia,Jawa Barat province
2001,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-4.68,102562,2001,2001,,,,,,,,Indonesia,Bengkulu province
2001,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,122,,,23000,23000,10000,15303,Indonesia,Cipanas village 
2001,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,63,,,,,,,Indonesia,Sangihe chains
2001,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,,,,310,310,,,Indonesia,Seling village 
2001,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,,,,600,600,,,Indonesia,Ayah area 
2001,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,16,,,,,,,Indonesia,Near Bandung (West Java)
2001,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,22,19,,,19,,,Indonesia,Java Island
2001,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,27,,,,,,,Indonesia,Moluques sea
2001,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,47,,,,,,,Indonesia,Near Palipi port 
2001,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,350,,44,,44,,,Indonesia,Au large de Java
2001,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,31,,,,,,,Indonesia,Bogor district
2001,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,13,5,,,5,,,Indonesia,Tegal (Java Island)
2001,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,42,35,,,35,,,Indonesia,Cirebon (West
2001,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,42,35,,,35,,,Indonesia, Java Islad)
2001,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,20,15,,,15,,,Indonesia,Banten province
2001,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,20,15,,,15,,,Indonesia, Java Island
2001,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,12,6,,,6,,,Indonesia,Banten province
2001,Technological,Technological,Transport accident,Rail,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,54,47,,,47,,,Indonesia,Near Brebes (Java Island
2001,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,2001,2001,,,,,,,,Indonesia,Sentani area 
2002,Natural,Geophysical,Earthquake,Tsunami,IDN,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,8,-1757,134297,2002,2002,8,632,8450,,9082,,,Indonesia,Manokwari
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,1490,,,2002,2002,21,,40,,40,,,Indonesia,Kota Pagaralam district
2002,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-1196,121333,2002,2002,,48,2500,,2548,,,Indonesia,Poso district (Sulawesi Tengah province)
2002,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-1.68,134234,2002,2002,,,155,,155,,,Indonesia,Ransiki village (Manokwari district
2002,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-1.68,134234,2002,2002,,,155,,155,,,Indonesia, Papua Barat province)
2002,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,2824,96085,2002,2002,3,60,,,60,,,Indonesia,Simeulue district (Nangroe Aceh Darussalam province)
2002,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,,,5000,,5000,,,Indonesia,Garut
2002,Natural,Geophysical,Volcanic activity,Ash fall,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,,,5000,,5000,,,Indonesia, Bandung (Jawa Barat province)
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,,,4170,,,2002,2002,13,,2000,,2000,,,Indonesia,Kota Medan district (Sumatera Utara province)
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,,,41000,,,2002,2002,150,750,500000,,500750,350000,527252,Indonesia,Belu districts
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,942,,,2002,2002,14,,780,,780,,,Indonesia,Gomo
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,942,,,2002,2002,14,,780,,780,,,Indonesia, Amandraya areas (Nias Selatan district
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,942,,,2002,2002,14,,780,,780,,,Indonesia, Sumatera Utara province)
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,4900,,,2002,2002,19,,,,,,,Indonesia,Sumba Timur
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,,,4900,,,2002,2002,19,,,,,,,Indonesia, Sumba Barat districts (Nusa Tenggara Timur)
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,,,,2,,,2002,2002,,,1000,,1000,,,Indonesia,Kolaka district (Sulawesi Tenggara province)
2002,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,,Yes,17000,,,2002,2002,13,,87000,,87000,1600,2410,Indonesia,Sumatera Umara Province
2002,Natural,Climatological,Wildfire,Forest fire,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,,200,,,200,,,Indonesia,Kalimatan Barat
2002,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,17,,757,,757,,,Indonesia,Belu
2002,Natural,Biological,Epidemic,Bacterial disease,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,17,,757,,757,,,Indonesia, Indonesia
2002,Natural,Biological,Epidemic,Viral disease,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,,,2,,2,,,Indonesia,Alor
2002,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,9,1,,,1,,,Indonesia,Kalimantan region
2002,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,22,6,,,6,,,Indonesia,Jember (East Java)
2002,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,34,,,,,,,Indonesia,Sumatra Island
2002,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,16,13,,,13,,,Indonesia,Sulawesi province
2002,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,10,,,,,,,Indonesia,Riau province (Sumatra Island)
2002,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,70,,,,,,,Indonesia,Near Ambon Island
2002,Technological,Technological,Miscellaneous accident,Explosion,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,12,16,,,16,,,Indonesia,Java Island
2002,Technological,Technological,Industrial accident,Explosion,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,10,15,,,15,,,Indonesia,Tegal region (Java Island)
2002,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,53,17,,,17,,,Indonesia,Palembang (Sumatra Island)
2002,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,,,,500,500,,,Indonesia,Jakarta
2002,Natural,Hydrological,Landslide,Mudslide,IDN,South-Eastern Asia,Asia,,,,,,,2002,2002,32,5,,,5,,,Indonesia,Java Tengah
2003,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,,,,2003,2003,3,,10000,,10000,,,Indonesia,Pandeglang district (Banten province)
2003,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,,,,2003,2003,3,,10000,,10000,,,Indonesia, Polewalimamasa district (Sulawesi Barat province)
2003,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,-8807,118524,2003,2003,,2,2500,,2502,,,Indonesia,Dompu district (Nusatenggara Barat province)
2003,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,1,,15000,,15000,,,Indonesia,Java Tengah
2003,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2003,2003,21,74,1686,,1760,,,Indonesia,Barat province
2003,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Hevay rains,,,,,,2003,2003,10,,20,,20,,,Indonesia,Cantilan village 
2003,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,,,230,,230,,,Indonesia,Nusatenggara Barat province
2003,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,2003,2003,10,,3700,,3700,,,Indonesia,Kapai Tabu Karambia
2003,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,"Heavy rain, deforestation","Slide (land, mud, snow, rock)",Yes,600,,,2003,2003,241,30,1468,,1498,,,Indonesia,Java Tengah
2003,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Raining season,"Slide (land, mud, snow, rock)",,1500,,,2003,2003,8,,25000,,25000,,,Indonesia,Jambi province
2003,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rain,"Slide (land, mud, snow, rock)",,79400,,,2003,2004,148,,350000,,350000,,,Indonesia,Jambi province
2003,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,Flood,,,,,2003,2003,76,248,229300,,229548,3961,5835,Indonesia,Nusa Tenggara Timur
2003,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,2354,128855,2003,2003,1,7,100,140,247,,,Indonesia,Morotai island (Halmahera Utara district
2003,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,2354,128855,2003,2003,1,7,100,140,247,,,Indonesia, Malaku Utara province)
2003,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,1142,128152,2003,2003,,,500,,500,,,Indonesia,Wasile area (Halmahera Tengah district
2003,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,1142,128152,2003,2003,,,500,,500,,,Indonesia, Maluku Utara province)
2003,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,,,540,,,2003,2003,3,,33000,,33000,,,Indonesia,Kota Jakarta Barat
2003,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,,,540,,,2003,2003,3,,33000,,33000,,,Indonesia, Kota Jakarta Selatan districts (Dki Jakarta province)
2003,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,,,540,,,2003,2003,3,,33000,,33000,,,Indonesia, Kota Tangerang district (Banten province)
2003,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2003,2003,12,,,,,,,Indonesia,Makale
2003,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2003,2003,12,,,,,,,Indonesia, Sa'dan Balusu areas (Tanatoraja district
